bangla,classes
 জিহাদ ও খেলাফতের সিলসিলা বইটিকে নামের কারনে এক অনলাইন পরিবেশক তাদের ওয়েবসাইটে রাখেন নাই  দুইজন পাঠক বইটির কারনে পুলিশের হাতে হয়রানি হয়েছেন ,sadness
 ডিয়ার বাংলাদেশ নাটকে ইনি অভিনয় করেছেন আমার তখন থেকেই এই আপুকে ভালো লাগে,joy
 তাতে মনে হল আমার প্রায় পুরো জীবনটাই ভয় দিয়ে নিয়ন্ত্রিত হচ্ছে ,fear
 তার কয়েকদিন পরেই বাড়িটা উত্তর দিকে সামান্য হেলে যায়  এখনো মাঝে মাঝে সেই ঘটনা মনে হলে গায়ে কাটা দিয়ে উঠে  ,fear
 তাহলে কি চুয়েট  রুয়েট  কুয়েট একত্রে ভর্তি নিবে বিআইটির মত  আর বুয়েট আলাদা  আমার মনে হয় বুয়েট যদি না আসে কারোরি যাওয়া উচিত না  প্রকৌশল বিশ্ববিদ্যালয়ের সম্বনিত ভর্তি পরীক্ষা নিলে টাকেই আসতে হবে  না হলে না ,anger
 তিন বছর রিলেশনশিপে কখনো দ্বীপ এমন অশ্লীল ভাষায় কথা বলেনি আর কিস করতে হলেও অনুমতি নিয়েই করতো সেটাও ফোন থেকে ,disgust
 তোরে কে আঘাত দিয়েই আসলেই রিসেন্টলি আঘাত পাইসোস এর আগেও পাইসোস ,joy
 দিনের বেলা একা থাকা ভয় না করলেও রাতের বেলা  ভয় করত  আর প্রথম চার দিন প্রাকৃতিক ডাকেও সাড়া দেয় নি ভূতের ভয়ে ,fear
 দীর্ঘদিন ধরে একটি চক্র গারো পাহাড়ের পর্যটন কেন্দ্র গজনী অবকাশ ও এর পাশের এলাকায় ছিনতাইসহ নানা ধরনের অপরাধমূলক কর্মকাণ্ড চালিয়ে আসছে ,anger
 দুইমাসে এই লাশের বন্যা একটা মিথে পরিণত হইসে  অনেকটা কেয়ামতের মতো  এটা এত ভয়ংকর যে এটাই কল্পনার শেষ সীমানা ,fear
 না হয় সেটা ব্যর্থ প্রয়াস হয়ে যেতে পারে এবং এরকমটা হলে সেটা এখানে বসবাস করা প্রত্যেকটা মানুষের জন্য অশনি সংকেত ,fear
 প্রশাসন  হাসপাতাল  সর্বত্র অব্যবস্থাপনা আর সমন্বয়হীনতা প্রকট  চরম দুরবস্থায়ও চট্টগ্রামের জনপ্রতিনিধিরা নির্বিকার থাকায় ক্ষুব্ধ সাধারণ মানুষ ,anger
 ফুসফুস ফুটো করে দেওয়া কুঠার দক্ষ সার্জন আলাদা করলেও  তার সাথে আরো অনেক কিছুই আলাদা হয়ে গিয়েছে  ভারি নিঃশ্বাস প্রশ্বাস নিলে কিংবা জোরে কথা বললেই বুকের মধ্যে তীব্র ব্যথা অনুভব করেন তিনি ,sadness
 বহিষ্কার টা বেশি ইফেক্টিভ বলেইত এই নাটকটা দেখতে হচ্ছে সিনিয়রদেরকে বুঝাইতে আসিয়োনা স্যারদেরকে অবশ্যই এক্সট্রিমভাবে ইরিটেট করা হয়েছে   ক্যাম্পাসে আসছে দিনও হয়নি আর ওদেরকে তোমরা গৌরিশঙ্কর নিয়ে যাও র‍্যাগিং হইছে কিনা তার জন্যে এর থেকে আর কি প্রমান লাগে স্যাররা প্রটেস্ট না করলেত আজ অন্য কেউ ভিক্টিম হত ,anger
 বাবু মামা তার বন্ধুটির দিকে তাকিয়ে যা দেখেছিলে তা বলতে বাবু মামা আজও ভয় পান ,fear
 বিগত   ইং তারিখে কতিপয় উশৃঙ্খল শিক্ষার্থী কর্তৃক আমার অফিস কক্ষের সামনে আমারসহ আরও কিছু শিক্ষকদের নাম ফলক ও জানালার কাচ ভাংচুর করা হয়  যা আমার গায়ে হাত তােলারই সমতুল্য ,disgust
 বেসাসকে সবচেয়ে যন্ত্রণাদায়কভাবে হত্যা করা হলো  তার লাশের প্রতিও আলেকজান্ডার বিন্দুমাত্র সম্মান দেখলেন না  কাপুরুষোচিতভাবে দারিউসকে হত্যা করার কারণে বেসাসের  দ্য কিং অভ কিংস  উপাধিও তিনি অস্বীকার করেছিলেন ,disgust
 ব্যাসিল হলওয়ার্ড একজন চিত্রশিল্পী  অল্পভাষী মৃদু স্বভাবের এই ব্যক্তি বছর কয়েক আগে হুট করে উধাও হয়ে বেশ আলোচনার কেন্দ্রে এসেছিল ,surprise
 ভয়ের বিষয় যা ই হোক না কেন  মোট কথা হলো  অমূলক ভয়ভীতি আমাদেরকে ঘিরে ধরে,fear
 ভয়ের ব্যাপার নিয়ে বই বা কোনো আর্টিকেল পড়ি  বুঝতে পারলাম আমার মতো আরো অনেকে একই ব্যাপারে ভয় পায় ,fear
 মাছের বাজারে ভিড়  সবজির বাজারে ভিড়  মাংসের বাজারে ভিড় দেশে করোনাভীতি চলছে  ,fear
 মেয়েদের চুল ছোট করে কেন  ওদের চুল কাটা তো জায়েজ না আমাদের ধর্মে এইগুলা সব পশ্চিমাসংস্কৃতি থেকে আসছে যতসব ফালতু  ,anger
 যে কোনো সময়ে আমি ধর্ষিত হতে পারি  সেই ভয় ,fear
 যেখানে আপনার ডাক্তাররা মানুষকে নুন্যতম চিকিৎসাও দিচ্ছে না  সেখানে গ্রাম ডাক্তাররা নিজের নিরাপত্তার কথা চিন্তা না করে বাড়ি বাড়ি গিয়ে চিকিৎসা দিয়ে যাচ্ছেন  এরাই আপনার লড়াকু সৈনিক ,joy
 যেদিন আমার বোনম্যারো ট্রান্সপ্লান্ট হয়  তার আগের রাতে আমি ঘুমাতে পারি নি  কালকে ট্রান্সপ্লান্ট চলাকালীন আমি ফট করে মরে যেতে পারি ভেবে এক ধরণের গা শিরশিরে অনুভুতি হচ্ছিল ,fear
 রমিজ মিয়াঁ এবং তার বউ আতঙ্কে থর থর করে কাঁপতে কাঁপতে লক্ষ্য করলেন  সুলতান এবং সেই বৃদ্ধ দুজনেরই চোখ দিয়ে লাল রক্তের মতো আলো বের হচ্ছে ,fear
 রাগ্গিং  হোক  আর  না  হোক   তাই  বলে  কি  এই   স্যার  রা  কারো  হাত  ভেঙে  দেয়ার  সার্টিফিকেট  পাই    এমন  ঘটনা  সত্যি  হয়েই  থাকে   রাগ  যে  দিসে  র  এই   স্যারদের  ডিফারেন্স  তা  কোথায়  ,disgust
 রোগী ভয় পেয়ে নটার আগেই খাওয়াদাওয়া সেরে দরজা জানলা বন্ধ করে ঘুমিয়ে পড়ার চেষ্টা করতেন ,fear
 লিটন এখন মন খুলে কথা বলেন  নিজের পারফরম্যান্স নিয়ে বিশ্লেষণ করেন সবিস্তারে  লিটন নিজেও দাবি করলেন  তিনি আর আগের মতো নেই  অনেকখানি বদলে গেছেন ,surprise
 শুরুতে সবকিছু ঠিক ছিল  কিন্তু  প্রায়  দিন পর  হঠাৎ একটা অদ্ভুত ঘটনা ঘটল  রাতে হঠাৎ স্বপ্নে দেখে খালা ঘুমের ভিতরে থাকা অবস্থায় কোন একটা সাদা ‍ধূতিঁ পরিহিত অনেক দীর্ঘ বৃদ্ধ লোক এসে খালার হাত ধরে টানতেছে এবং সে যেন কোথায় নিয়ে যেতে চাইতেছে ,surprise
 শেরেবাংলা উচ্চবিদ্যালয়ের মাঠে গভীর নলকূপের পাইপ দিয়ে গতকাল বৃহস্পতিবারও দ্বিতীয় দিনের মতো প্রবল বেগে গ্যাস বেরোনো অব্যাহত ছিল  ইতিমধ্যে বিদ্যালয়ের শহীদ মিনারটি ধসে পড়েছে  বিদ্যালয়ের একটি ভবনও ভেঙে পড়ার আশঙ্কা দেখা দিয়েছে ,fear
 শেষ সময়ে এসে কিছু তিক্ত ঘটনা ঘটে গেলো কিন্তু এর জের ধরে নিজ নিজ ইগো নিয়ে যদি সবাই বসে থাকি তাহলে আজ থেকে অনেক বছর পর অবশ্যই পোড়াবে ,sadness
 সচেতনতার অভাব এবং মানুষের অনাগ্রহের কারণে অঙ্গ প্রতিস্থাপনের প্রক্রিয়াটি ফলপ্রসূ হয়ে ওঠেনি  তবে মুজিব শতবর্ষ উপলক্ষে এবার এই উদ্যোগ নেওয়া হবে বলে জানিয়েছেন বিশেষজ্ঞ চিকিৎসকেরা ,joy
 সরকারি নিষেধাজ্ঞায় গত  মে থেকে টানা  দিনের জন্য সাগরে মাছ ধরা বন্ধ কর্মসূচি চলছে  এতে টেকনাফ উপজেলার তিন হাজার নৌকার অন্তত  হাজার জেলে বেকার হয়ে পড়েছেন  পাশের উপজেলা উখিয়ারও কয়েক হাজার জেলে পরিস্থিতির শিকার ,sadness
" সাহস
বলে যতই নাম ডাক থাকুক  ভূতের
ভয় তার বেজায়  ",fear
 সিঁড়ির মাথা পর্যন্ত উঠেই তারা চিৎকার করে নেমে আসে  তারা যেই জিনিসটা দেখে তা হলো   টা বুড়ি মহিলা সাদা কাপড় পড়া অবস্থায় পুরা ছাদে লাফাচ্ছে এবং তার চেহারা টা খুবই ভয়ংকর ,fear
 সিনেমার জন্য  হতে যাচ্ছে আশাব্যঞ্জক একটি বছর  কারণ  এ বছর মুক্তি পাবে ভিন্ন স্বাদের অনেক সিনেমা ,joy
 সেই নটেগাছটি মুড়নোর ভয়ে কাঁটা হয়ে থাকার কবিতা এটা ,fear
 সেইফ থাকবেন  বেশি টেনশনে আছি এই রোগ নিয়ে মহামারী হইলে পুরা শহর মরুভূমি হই যাবে,fear
 সৈনিকটির মুখে সব কথা শােনার পর সারা গ্রামে আতঙ্ক ছড়িয়ে পড়ল  এমন কি দিনের বেলাতেও আর কোন সাহসী লােক ঐ বাড়ির দিকে পা বাড়াতাে না ,fear
 সোগডিয়ানাতেই আলেকজান্ডারের সাথে সেখানকার রাজার মেয়ে রোকসানার পরিচয় হলো  এবং কয়েকদিন পর রোকসানার সাথে আলেকজান্ডারের বিয়ে হয়ে গেলো  রোকসানা অনিন্দ্যসুন্দরী ছিলেন তো বটেই  সাথে তার চরিত্রের অন্যান্য দিকও আলেকজান্ডারকে আকৃষ্ট করেছিল ,joy
 স্মৃতি আছে এখানে—আছে তার সমস্ত ভয়াবহতা নিয়ে  ,fear
 হঠাৎ মনে হল যে আমার পড়ার টেবিল থেকে কেউ চেয়ার টা টেনে আমার মাথার কাছে নিয়ে আসলো ,surprise
 হলরুমে একসঙ্গে  মানুষ ভয় পেয়ে চিৎকার করে উঠছে ,fear
 ঐ ভয়ানক কাজটি করতে গিয়ে আমার মাথার অর্ধেক চুল সাদা হয়ে গিয়েছিল  যা পরবর্তী সময় দেয়াল হয়ে দাঁড়িয়েছে  ,fear
"
আসলেই যেকোন মোটিভেশনাল স্পিকার থেকে আপনাকে বেশি ফলো করি 
এই কথাগুলা আমাদের সো কলড মোটিভেশনাল স্পিকাদের বেশি করে শোনাতে হবে 
আপনার উন্নতি কামনা করি",joy
"
এক ভাই এই বিরল মুহুর্তের ছবি আমাকে পাঠিয়ে বললো  দানব কাঁদছে   আমি অনেকক্ষন ধরে এই ক্ষণজন্মা বামন আকৃতির দৈত্যের দিকে তাকালাম  বিভিন্ন এ্যাঙ্গেলে তাকালাম  কিন্তু কাঁদছে বলে মনে হয়নি আমার ",sadness
"
নওগাঁ তে করা চিত্রগল্পের প্রথম কাজ  হিন্দু বিয়ের কাজ ঢাকার বাইরে গিয়ে আগে অনেক করলেও এই কাজের মজা ছিলো আমরা শুরু থেকে বিয়ের শেষ পর্যন্ত পুরো কাজের গল্প ছবিতে তুলে ধারার সুযোগ পেয়েছি  আশা করি সবার ভালো লাগবে ",joy
  আমি হাহা করে হেসে বলেছিলাম   আমি  গান রেকর্ড করবো  তোমার কি মাথাটা আরো খারাপ হয়ে গেছে   তুমি অজান্তেই জেনে গিয়েছিলে  একদিন আমি গান গাইবো  রেকর্ড করবো  আমার নিজের জানার বহু আগেই ,surprise
  আহা  কী চমৎকারই না হতো  যদি এই ছবিটা বুড়িয়ে যেতো আর আমি যেমন আছি  তেমনই থাকতাম  এর জন্য আমি আমার আত্মা বিক্রি করে দিতেও রাজি   ,sadness
  রং বেরঙ্গের জামা কাপড় পড়ে বিদেশের রাস্তায় যেয়ে নাচানাচি কারা করে   বাঁদর নাচ কে দেখায় সেটা সবাই জানে     অঙ্কুশই একমাত্র ব্যাক্তি যে এভেঞ্জার্স এর গল্প  লাইনে বলে দিয়েছে,disgust
 অনেক দিন পর ভিডিও দিলেন মনটা খারাপ হলেও এখন একটু ভালো লাগছে   ধন্যবাদ দেখে শুনে থাকবেন   এখন পর্যন্ত  টি দেশে আক্রান্ত হয়েছে   সবাই দোয়া করবেন আমাদের জন্য  ,joy
 আমার এক ছেলে বড় হয়ে সিরিয়াল কিলার হতো  আরেকটা ড্রাগ অ্যাডিক্ট  আর মেয়ে হতো বেশ্যা    তোমাকে এই কথা কে বলেছে    শয়তান    শয়তান তোমাকে নিজে বলেছে    হু  ,disgust
" আরে নামে না ক্যারে  এই লাইন টা একদম মনে হইসে মুভির ই অংশ   একদম সেই মিল খাইসে
এক কথায় জোস     ",joy
 একেকটা বছর অনেক কিছু শেখায়     এ বছর শিখলাম  কোন কিছুই পাওয়া সহজ না     চাকরি হোক  ভালো রেজাল্ট হোক কিংবা যা কিছুই হোক   ,sadness
 চুয়েট  কে সবচেয়ে বেশি ভালোলাগার বা চুয়েটে সবচেয়ে বেশি সুন্দর সময় পার করার সিজন চলে আসছে আবার  ,joy
 ছোটাপা    জানেন     শায়লা কি করেছে    আমি তো পুরোই অবাক    পাগলাটা বিয়েতে আমার বিয়ের শাড়ি পরেছে  ,surprise
 তোমাদের পূর্বে বহু মানবগোষ্ঠীকে আমি তো ধ্বংস করিয়াছি যখন তাহারা সীমা অতিক্রম করিয়াছিল  স্পষ্ট নিদর্শনসহ তাহাদের নিকট তাহাদের রাসূলগণ আসিয়াছিল  কিন্তু তাহারা ঈমান আনিবার জন্য প্রস্তুত ছিল না  এইভাবে আমি অপরাধী সম্প্রদায়কে প্রতিফল দিয়া থাকি  ,fear
 বাংলাদেশটা ভালো নেই     লাল সবুজের দেশটাতে সবুজ হারিয়ে শুধু রক্তের লাল রয়ে গেছে  ,sadness
 বিস্ময় ছিলে তুমি স্বপ্ন আমার  কাছে পাব না জানি তোমাকে তো আর  কাটতো সময় কত গল্প করে  আমি ভুলব না তোমাকে ,surprise
 বুঝলেন ভাই  যে মেয়েকেই নক দিচ্ছি  সেই মেয়েই রিপ্লাই দিচ্ছে৷ কিন্তু আমি জানি করোনা চলে গেলে  ওরা ও চলে যাবে আমাকে ফেলে  ,sadness
 মামা ঐ যে পিছনে ওয়ান টাইম গ্লাসগুলা দেখেন না  সবাই একবার করে পানি খায়  তারপর গ্লাসগুলো ফেলে দেয়  আপনাদের ঢাকা শহরের প্রেম হল এমন    একবার করে সবাই কাছে পাইতে চায়  প্রয়োজন শেষ হলে প্রিয় মানুষটারেই ছুড়ে ফেলে দিয়ে যায়   ,disgust
 আকিজ কলেজিয়েট স্কুল   যে শিক্ষা প্রতিষ্ঠানের প্রতিটি স্থানে স্মৃতি জরিয়ে আছে   টা বছর পার করেছি এখানে  স্যার  ম্যাডাম রা শিখিয়েছে  শাসন করেছে  তেমনি অনেক ভালোবেসেছে  জীবন যুদ্ধে যেখানে থাকি না কেন  শিকর  তোমাকে   তোমাদেরকে ভুলবো না ,sadness
 টাকা দিয়েই মুভি দেখবো  তাও আবার অঙ্কুশ শের মুভি হা হা হা লোলো ভাই সাহাব ঔ গেরার মুভি হা আর কোতো কি সুনবো ভোগোবন  কিরোণদা তুমি চিনতা কোরোনা আমরা তোমার সাথে আছি ,disgust
 আমি যতোটুকু পারছি দিছি   এখানে আপনি নাক গলানোর কে  আপনি কতো দান করছেন ,anger
 দেশের বর্তমান আতংকের নাম কিশোর গ্যাং কিশোর অপরাধ কমাতে অপরাধী কিশোরকে লাই দেওয়া যাবেনা ছোট বলে একেবারে কিছু বলা যাবেনা এরকম না,fear
  উফ এত দূর আগে জানলে সকাল সকাল ঘর থেকে বের হতাম    কথা গুলো যেন নিজেকে নিজেই শোনাল মনন ,fear
 এটা সত্যি  আমি মিথ্যা বলব না  কিন্তু আমি যখন ছুটিতে থাকি তখন আমি আসলেই ছুটি কাটাই  এই গ্রীষ্মে আমার  কেজি ওজন বেড়েছে  আমি এমনই  খুব দ্রুত ওজন বাড়ে আবার আমি চাইলেই দ্রুত সেটা ঝেড়ে ফেলতে পারি  ,surprise
 ও সন্দেশ আম্মু   দোউখানুর উপস্থিতি অনুভব করে রাগে পিত্তি জ্বলে যাচ্ছে আমার ,anger
 কি হল আবার এই বোকা যন্ত্রটার    ভ্রুকটি করে বলল মনন     এখন আমি যাই কি ভাবে    ,fear
 জীবন্ত শেষকৃত্য ই হচ্ছে কফিনের ভেতর শুয়ে মৃত্যুর ভান ধরে থাকা  শুরু থেকে এ পর্যন্ত  হাজারেরও বেশি মানুষ  জীবন্ত শেষকৃত্য  আয়োজনে অংশ নিয়েছেন  সম্প্রতি এই আয়োজনটি বেশ জনপ্রিয় হয়ে উঠেছে  সংস্থাটি এই প্রকল্পের নাম দিয়েছে  ডাইং ওয়েল  বা  শান্তিতে মৃত্যু  ,surprise
 নিরাপত্তাহীনতায় ভুগছেন  জানিয়ে থানায় পাঁচটি সাধারণ ডায়েরি  জিডি  করেছিলেন ব্যবসায়ী মো  ইয়াছিন আলী  আশঙ্কার কথা জানিয়ে আবেদন করেছিলেন পুলিশের কর্মকর্তাদের কাছেও  শেষমেশ তিনি খুন হয়েছেন  তাঁর লাশ পাওয়া গেছে রাজধানীর শেরেবাংলা নগর সরকারি বালিকা উচ্চবিদ্যালয়ের প্রধান ফটকে ,disgust
 বড় জাহাজ  আর্মস্ট্রংকে টপকে গেছেন কর্নওয়াল  সাবেক অস্ট্রেলিয়ান অধিনায়কের শতবর্ষ পুরোনো রেকর্ড ভাঙা কর্নওয়ালকে নিয়ে চলেছে মাতামাতি,surprise
 বিয়ের আগে জীবন ছিল অর্থহীন   শুনলে হয়তো অনেকে একটু অবাক হবেন  সত্যি কি এই কথা জাস্টিন বিবার বলেছেন  এটাই সত্যি  কথাটি জাস্টিন বিবারই বলেছেন  বিয়ের পরেই তিনি জীবনের অর্থ খুঁজে পেয়েছেন ,surprise
 ভ্যাসলিন হিলিং প্রজেক্ট   এর উদ্বোধন করলেন ভ্যাসলিন বাংলাদেশের ব্র্যান্ড অ্যাম্বাসেডর ও জনপ্রিয় অভিনেত্রী বিপাশা হায়াত  গত রোববার রাজধানীর বসুন্ধরা সিটি শপিং কমপ্লেক্সে আনুষ্ঠানিকভাবে এবারের প্রকল্পটির উদ্বোধন করেন তিনি ,joy
 শিশুখাদ্য গবেষণায় অনন্য অর্জন  শিরোনামে এ নিয়ে ছোট কিন্তু তাৎপর্যপূর্ণ ও আমাদের গৌরব করার মতো একটি প্রতিবেদন প্রকাশিত হয়েছে  জানুয়ারি প্রথম আলোয় ,joy
 এত ভালো একটা ঘোড়াকে এভাবে ছেড়ে দেওয়া হচ্ছে  এরকম অনভিজ্ঞ আর দুর্বল লোক থাকলে এরকমই হয়   পেছন থেকে চিৎকার করে উঠলেন যুবরাজ ,disgust
 টমাস আলভা এডিসন একজন ছিল এক মেধাহীন শিশু  একজন অসাধারণ মায়ের প্রেরণায় সে হয়ে উঠে আশ্চর্যময়  সেরা মেধাবী  ,surprise
 বড়দের সমালোচনা করার মতো তুমি কে  তোমার কি মনে হয় তুমি তাদের চেয়ে ঘোড়া সম্পর্কে ভালো জানো   ফিলিপ তার ছেলেকে ধমকের সুরে বললেন ,disgust
 ভাইরাসে আক্রান্ত হওয়ার পরও অনেকে জায়গার অভাবে হাসপাতালে ভর্তি হতে পারছেন না  তাই তারা মৃত্যুর প্রহর গুনছেন   ,sadness
 লাফ দিয়ে একটা কী যেন ঢুকল ঘরে  ছায়ার মতন  সাদা …   সাদা  তারপর …  নিগারের বুক ঢিপঢিপ করে   তারপর ছায়াটা হাঁটল … জান আম্মু  ছায়াটা না ঠিক আব্বুর মতন  ,fear
 সব মাছে গু খায় গাওরা মাছের দোষ হয়    শুধু মিডিয়া জগতে নয়  অন্য প্রতিষ্ঠান গুলোতে কি হয় না   অবশ্যই হয়   আমি  এ পা দিলাম  অভিজ্ঞতায় বাস্তব অর্জন কম নয়  ,disgust
 স্থলে ও জলে মানুষের কৃতকর্মের দরুন বিপর্যয় ছড়িয়ে পড়েছে  আল্লাহ তাদেরকে তাদের কর্মের শাস্তি আস্বাদন করাতে চান  যাতে তারা  আল্লাহর দিকে  ফিরে আসে  ,fear
 হারকিউলিস যদি টা শ্রমের বদলে পাঁচটা শ্রমের কাজ করেই থেমে যেতেন  তবে কি কেউ তাকে মনে রাখতো  আমরাও যদি আবারো অভিযানে নেমে পড়ি  আমাদের সম্মানও আরো বহুগুণ বেড়ে যাবে  ,joy
  গা ছমছম করে ভয়ের একটা শীতল অনুভূতি বয়ে গেল আমার ভেতর দিয়ে  এত দূর হেঁটে হেঁটে যাব কী করে ,fear
আমি চালাকের শহরে এক বোকা মানুষ  ভাই বলি গান কিন্তু ভাল লাগছে  এক অন্যরকম গানের লিরিক গুলি ,joy
 অক্টোবর     আপডেট   অক্টোবর     নূরুল ইসলাম  ফাইল ছবি নূরুল ইসলাম  ফাইল ছবি রেলমন্ত্রী মো  নূরুল ইসলাম বলেছেন   অক্টোবর কুড়িগ্রাম থেকে সরাসরি ঢাকার পথে আন্তনগর ট্রেন চালু হবে  এ ট্রেনের নাম প্রস্তাব করা হয়েছে কুড়িগ্রাম এক্সপ্রেস  প্রধানমন্ত্রী শেখ হাসিনা ভিডিও কনফারেন্সের মাধ্যমে ট্রেনটির উদ্বোধন ঘোষণা করবেন ,joy
 জনের মধ্যে একজন খারাপ ডাক্তার কিংবা আলেম কিংবা ইঞ্জিনিয়ার এর জন্য গালি দিই  জনকেই বাকি নয়জনের প্রশংসাটা মুখে বোম মারলেও বের হয়না ,disgust
 বছর আগে যখন গানটি শুনতাম তখন গানের লিরিক্সের ভাবার্থের সঙ্গে পরিচিত ছিলাম না তারপরও তখন ভাল লাগতো   আর এখন লিরিক্সগুলার ভাবার্থ জীবনের সঙ্গে মিলে যায়  তাই নতুন করে আবারও ভালো লাগে  ,joy
